n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
54000,1.2126e+07,175898,1.19469e+07,1.20278e+07,1.20954e+07,1.21552e+07,1.29179e+07
55000,1.26208e+07,870491,1.21805e+07,1.22864e+07,1.23425e+07,1.24582e+07,1.64858e+07
56000,1.26294e+07,129015,1.24773e+07,1.25621e+07,1.2602e+07,1.26696e+07,1.32142e+07
57000,1.28866e+07,227680,1.25349e+07,1.27836e+07,1.2835e+07,1.29328e+07,1.36632e+07
58000,1.3137e+07,284118,1.28432e+07,1.30216e+07,1.31118e+07,1.31962e+07,1.45611e+07
59000,1.33453e+07,108008,1.31549e+07,1.32613e+07,1.3329e+07,1.34424e+07,1.3532e+07
60000,1.36621e+07,204784,1.3332e+07,1.35214e+07,1.36322e+07,1.37469e+07,1.42198e+07
61000,1.39617e+07,283716,1.36131e+07,1.37998e+07,1.38743e+07,1.40278e+07,1.48029e+07
62000,1.41319e+07,160461,1.38729e+07,1.40044e+07,1.41248e+07,1.42166e+07,1.44587e+07
63000,1.44845e+07,318725,1.41007e+07,1.42818e+07,1.44098e+07,1.45158e+07,1.54699e+07
64000,1.47106e+07,433491,1.42344e+07,1.45276e+07,1.46047e+07,1.47302e+07,1.65791e+07
65000,1.48777e+07,149294,1.46305e+07,1.4762e+07,1.48764e+07,1.49953e+07,1.51608e+07
66000,1.52294e+07,376889,1.48589e+07,1.49955e+07,1.51025e+07,1.52968e+07,1.62738e+07
67000,1.5578e+07,448839,1.52152e+07,1.53063e+07,1.54573e+07,1.55792e+07,1.69782e+07
68000,1.5879e+07,442184,1.53925e+07,1.56319e+07,1.56997e+07,1.59159e+07,1.71858e+07
69000,1.62368e+07,698875,1.56574e+07,1.58349e+07,1.59429e+07,1.62276e+07,1.86059e+07
70000,1.65225e+07,922791,1.58619e+07,1.59927e+07,1.61785e+07,1.64101e+07,1.94456e+07
71000,1.67065e+07,605363,1.61545e+07,1.62463e+07,1.64656e+07,1.69435e+07,1.80926e+07
72000,1.68213e+07,574047,1.63058e+07,1.65083e+07,1.65717e+07,1.6714e+07,1.84585e+07
73000,1.70694e+07,438213,1.66272e+07,1.67692e+07,1.69449e+07,1.71452e+07,1.8627e+07
