n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64000,2.50315e+06,89746.9,2.4059e+06,2.4414e+06,2.4803e+06,2.5344e+06,2.7973e+06
65000,2.59553e+06,198210,2.4325e+06,2.47322e+06,2.51955e+06,2.67722e+06,3.2344e+06
66000,2.61801e+06,182097,2.4569e+06,2.49482e+06,2.54595e+06,2.67265e+06,3.1611e+06
67000,2.64027e+06,86379.5,2.5096e+06,2.57665e+06,2.62965e+06,2.6926e+06,2.8617e+06
68000,2.77629e+06,180537,2.5706e+06,2.63937e+06,2.73785e+06,2.86592e+06,3.3402e+06
69000,2.71938e+06,120713,2.5782e+06,2.63257e+06,2.68225e+06,2.77325e+06,3.0441e+06
70000,2.73074e+06,134263,2.6065e+06,2.64967e+06,2.70235e+06,2.75925e+06,3.3098e+06
71000,3.28071e+06,1.06039e+06,2.6406e+06,2.73772e+06,2.8578e+06,3.51967e+06,8.3021e+06
72000,2.9375e+06,299454,2.7034e+06,2.74882e+06,2.80775e+06,3.01265e+06,3.8492e+06
73000,2.81194e+06,90576.5,2.6759e+06,2.76095e+06,2.79515e+06,2.83582e+06,3.1505e+06
74000,2.90181e+06,168985,2.7687e+06,2.80927e+06,2.8408e+06,2.94582e+06,3.6266e+06
75000,2.96714e+06,90459.5,2.8125e+06,2.90895e+06,2.95425e+06,3.0026e+06,3.1873e+06
76000,2.92709e+06,65304.2,2.8328e+06,2.88067e+06,2.90575e+06,2.95915e+06,3.0988e+06
77000,3.03305e+06,182520,2.8832e+06,2.92905e+06,2.97085e+06,3.02077e+06,3.7351e+06
78000,2.99594e+06,67889.1,2.8937e+06,2.94307e+06,2.9889e+06,3.02927e+06,3.1686e+06
79000,3.07386e+06,113004,2.9435e+06,3.0177e+06,3.04355e+06,3.0861e+06,3.4654e+06
80000,3.07566e+06,78937.5,2.8925e+06,3.0372e+06,3.06225e+06,3.10307e+06,3.2829e+06
81000,3.13147e+06,75547.5,3.0265e+06,3.07288e+06,3.117e+06,3.16537e+06,3.3871e+06
82000,3.29083e+06,239084,3.0592e+06,3.18225e+06,3.2365e+06,3.2837e+06,4.4051e+06
83000,3.3124e+06,166749,3.1328e+06,3.20985e+06,3.2714e+06,3.32792e+06,3.9939e+06
84000,3.32865e+06,306946,3.1447e+06,3.19577e+06,3.23575e+06,3.30625e+06,4.7943e+06
85000,3.38962e+06,196616,3.1757e+06,3.27152e+06,3.3197e+06,3.45527e+06,3.8811e+06
86000,3.32738e+06,120444,3.2085e+06,3.27432e+06,3.3066e+06,3.33765e+06,3.9024e+06
87000,3.38343e+06,160723,3.2403e+06,3.30088e+06,3.3294e+06,3.3727e+06,4.0366e+06
88000,3.53357e+06,239872,3.2864e+06,3.36447e+06,3.4604e+06,3.66008e+06,4.3125e+06
89000,3.45521e+06,165652,3.3351e+06,3.37025e+06,3.4157e+06,3.4746e+06,4.253e+06
90000,3.45498e+06,89482.9,3.3594e+06,3.40962e+06,3.43565e+06,3.48495e+06,3.8506e+06
91000,3.50018e+06,71764.1,3.3743e+06,3.444e+06,3.48945e+06,3.5379e+06,3.6976e+06
92000,3.56213e+06,149714,3.4306e+06,3.48328e+06,3.5259e+06,3.58115e+06,4.2836e+06
93000,3.58451e+06,71819.9,3.4748e+06,3.53545e+06,3.5621e+06,3.61852e+06,3.7512e+06
94000,3.7471e+06,251499,3.5284e+06,3.5914e+06,3.67425e+06,3.7848e+06,4.5468e+06
95000,3.75152e+06,176082,3.561e+06,3.63315e+06,3.69505e+06,3.78545e+06,4.3309e+06
96000,3.81585e+06,172730,3.599e+06,3.6909e+06,3.7389e+06,3.93582e+06,4.2343e+06
97000,3.93668e+06,172782,3.6905e+06,3.796e+06,3.8882e+06,4.09678e+06,4.2763e+06
98000,3.81962e+06,108702,3.6913e+06,3.74182e+06,3.78945e+06,3.88472e+06,4.1597e+06
99000,3.95754e+06,103292,3.7846e+06,3.8688e+06,3.966e+06,4.01302e+06,4.1584e+06
100000,4.05017e+06,491864,3.7392e+06,3.83302e+06,3.89485e+06,4.03492e+06,6.4429e+06
